ISIN;Name;Currency;Shares;LastPrice;MarketValueEur;TotalBoughtShares;AvgBuyPrice;TotalSoldShares;AvgSellPrice;Taxes;RealizedPL;UnrealizedPL;TotalPL;PLAmountEUR;PLPercent
DE000PJ1N566;GE Aerospace Long 195,19 Turbo Open End BNP;203;8,86;1928,74;694;9,50118226600985;491;8,97026476578412;49,97;141,58;-302,71;-161,13;-302,71;-15,69;
DE000PJ23H65;D-Wave Quantum Long 12,89 Turbo Open End BNP;245;4,62;1090,92;458;4,45273469387755;213;5,16455399061033;1,42;3,96000000000011;-431,87;-427,91;-431,87;-39,59;
DE000PJ23XE0;RWE Long 34,39 Turbo Open End BNP;767;1,85;1315,86;1609;1,71559322033898;842;1,6609026128266;-11,71;-21,21;448,24;427,03;448,24;34,06;
DE000PJ38QB8;Advanced Micro Devices Long 134,85 Turbo Open End BNP;217;6,03;1142,19;217;5,26354838709677;0;;0;0;25,27;25,27;25,27;2,21;
DE000PJ38QJ1;Amphenol A Long 91,16 Turbo Open End BNP;551;3,9;1895,47;1158;3,44005444646098;607;3,74252059308073;78,58;100,55;-314,1;-213,55;-314,1;-16,57;
DE000PJ39426;Taiwan Semiconductor Manufact. ADR Long 227,25 Turbo Open End BNP;123;11,32;1187,23;180;9,65227642276423;57;11,2131578947368;25,04;121,63;-92,53;29,1;-92,53;-7,79;
DE000PJ3MNC9;RTX Corp Long 146,77 $ Turbo Open End BNP;135;5,27;693,28;135;5,13540740740741;0;;0;0;-2,07999999999996;-2,08;-2,08;-0,3;
DE000PJ6M0B1;Merck Long 72,51 Turbo Open End BNP;165;3,63;598,95;165;3,63;0;;0;0;-31,3499999999999;-31,35;-31,35;-5,23;
DE000PJ6V1E2;Alphabet A Long 200,16 Turbo Open End BNP;187;9,21;1590,52;187;8,50545454545455;0;;0;0;83,1299999999998;83,13;83,13;5,23;
DE000PJ80X57;Münchener Rück Long 354,46 Turbo Open End BNP;50;20,2;915,4;50;18,308;0;;0;0;-21,8999999999998;-21,9;-21,9;-2,39;
DE000PK1HGV4;Quanta Services Long 327,19 Turbo Open End BNP;48;17,14;541,44;65;11,28;17;17,14;26,73;74,59;456;530,59;456;84,22;
DE000PK30AT9;Applied Materials Long 219,34 Turbo Open End BNP;172;10,25;1595,69;172;9,27726744186047;0;;0;0;193,11;193,11;193,11;12,1;
DE000PK3CE68;ASML Holding Long 588,61 Turbo Open End BNP;200;6;1150,8;1052;5,754;852;5,31319248826291;59,61;655,2;-44,8000000000002;610,4;-44,8;-3,89;
DE000PK4WYF3;Nordex Long 22,17 Turbo Open End BNP;1318;2,11;1498,42;2724;1,13688922610015;1406;0,983342816500711;-59,68;-166,59;1453,9;1287,31;1453,9;97,03;
DE000PK58AT0;Micron Technology Long 251,13 Turbo Open End BNP;127;13,25;1385,6;127;10,9102362204724;0;;0;0;538,45;538,45;538,45;38,86;
DE000PK5P7R8;Caterpillar Long 466,44 Turbo Open End BNP;65;20,93;1280,89;65;19,706;0;;0;0;-121,94;-121,94;-121,94;-9,52;
DE000PL0WJF1;Enel Long 6,54 € Turbo Open End BNP;278;3,68;815,17;716;2,93226618705036;438;2,94602739726027;6,57;-42,6099999999999;27,1699999999999;-15,44;27,17;3,33;
DE000PN1CBG4;McDonald's Long Turbo Open End BNP;42;8,85;347,34;284;8,27;242;8,525;6,32;-60,4000000000002;46,2;-14,2;46,2;13,3;
DE000PN2W9V4;Amazon.com Long Turbo Open End BNP;439;6,85;2797,34;525;6,3720728929385;86;5,78;-9,64;-26,9100000000001;135,18;108,27;135,18;4,83;
DE000PZ1KLF4;Siemens Long Turbo Open End BNP;342;6,75;2287,07;456;6,68733918128655;114;7,01;15,34;42,8;-303,47;-260,67;-303,47;-13,27;
DE000UG678H7;Banco Santander Long 6,72 € Turbo Open End HVB;225;3,09;704;225;3,12888888888889;0;;0;0;-58,25;-58,25;-58,25;0;
DE000UG72Y03;Deutz Long 7,09 € Turbo Open End HVB;111;3,13;347,43;111;3,13;0;;0;0;-66,6;-66,6;-66,6;0;
HK0285041858;BYD Electronic (Intl);178;3,393;597,2;307;3,35507865168539;129;3,767;0;-11,223;22,06;10,84;22,06;3,69;
IE00063FT9K6;iShares Copper Miners (Acc);242;8,526;2076,06;1560;8,57876446280992;1318;7,69385887708649;57,13;262,244;-191,12;71,12;-191,12;-9,21;
IE0006WW1TQ4;Xtrackers MSCI World ex USA (Acc);267;36,65;9217,04;751;34,5207677902622;484;33,5002376033105;49,01;216,4200000023;238,76;455,18;238,75;2,59;
IE0008470928;iShares STOXX Europe 50 EUR (Dist);70,080429;49,625;3517,43;825,080429;50,191330147822;755;46,1433841059603;49,12;28,6300000000007;-42,14;-13,51;-42,14;-1,2;
IE000KHX9DX6;WisdomTree Strategic Metals and Rare Earths Miners (Acc);132;53,29;6208,01;200;47,0304166666667;68;37,6747794117647;-14,6;-64,4450000000001;-190,79;-255,24;-190,79;-3,07;
IE000RDRMSD1;iShares Blockchain Technology (Acc);166;12,67;2066,28;6911;12,4474939759036;6745;13,342134469978;0,559999999999977;-319,487999998601;120,93;-198,56;120,94;5,85;
IE000U9ODG19;iShares Global Aerospace & Defence (Acc);498;8,64;3947,03;5670;7,92576506024096;5172;6,7310999613321;29,74;-63,7509999904006;246,13;182,38;246,13;6,24;
IE00B0M63623;iShares MSCI Taiwan (Dist);17;115,96;1971,32;220;115,96;203;101,001921182266;83,88;583,559999999999;-6,79999999999986;576,76;-6,8;-0,34;
IE00B40QP990;Invesco Physical Platinum;31;179,21;5332,59;300;172,019032258065;269;138,916617100372;-10,12;52,9750000000993;-469,310000000001;-416,33;-469,31;-8,8;
IE00B42NKQ00;iShares S&P 500 Energy Sector (Acc);276;10,488;2378,77;2599;8,61871739130435;2323;8,22767800258287;21,48;-129,113000000001;581,06;451,95;581,05;24,43;
IE00B4M7GH52;iShares MSCI Poland (Acc);148;28,945;4145,64;319;28,0110472972973;171;25,8977777777778;23,04;101,715;58,3;160,02;58,3;1,41;
IE00B4NCWG09;iShares Physical Silver ETC (Acc);304;65,605;20365,17;2448;66,9906907894737;2144;48,8371828358176;92,4000000000001;2182,7560000011;-3066,05;-883,29;-3066,05;-15,06;
IE00B4ND3602;iShares Physical Gold ETC;41;84,99;3520,67;1129;85,8698780488049;1088;62,4343805147059;100,2;1329,111;-351,570000001;977,54;-351,57;-9,99;
IE00B52MJD48;iShares Nikkei 225 (Acc);24;303,85;7055,2;66;293,966666666667;42;272,978571428571;67,54;298,06;-81,9999999999991;216,06;-82;-1,16;
IE00B52XQP83;iShares MSCI South Africa (Acc);58;52,65;3000,32;463;51,7296551724138;405;49,5710987654333;22,08;86,4000000004999;-220,67;-134,27;-220,67;-7,35;
IE00B5377D42;iShares MSCI Australia (Acc);40;49,87;1916,83;268;47,92075;228;47,5031359649123;-14,48;-63,86;149,17;85,31;149,17;7,78;
IE00B53HP851;iShares Core FTSE 100 (Acc);10;219,25;2190,8;30;219,08;20;216,9925;24,85;109,7;163,7;273,4;163,7;7,47;
IE00B53L4X51;iShares FTSE MIB (Acc);13;225,45;2784,5;13;214,192307692308;0;;0;0;-42,15;-42,15;-42,15;-1,51;
IE00B53SZB19;iShares Nasdaq 100 (Acc);1;1207;1207;1;1207;0;;0;0;3,59999999999991;3,6;3,6;0,3;
IE00B5L8K969;iShares MSCI Emerging Markets Asia (Acc);18;218,55;3781,56;69;210,086666666667;51;185,027843137255;0,0800000000000001;40,2200000000007;94,7399999999998;134,96;94,74;2,51;
IE00B5W4TY14;iShares MSCI Korea (Acc);16;299,85;4995,65;165;312,228125;149;228,653355704698;151,97;1927,5;13,9499999999998;1941,45;13,95;0,28;
IE00B6R52036;iShares Gold Producers (Acc);127;38,39;4819,82;657;37,9513779527559;530;34,1141981132076;-20,68;507,835000000001;-646,6;-138,76;-646,6;-13,42;
IE00BJ0KDQ92;Xtrackers MSCI World (Acc);71;123,445;8506,94;499;119,816056338028;428;110,576689252335;134,26;550,109999999399;29,04;579,15;29,04;0,34;
IE00BM67HV82;Xtrackers MSCI World Industrials (Acc);106;73,32;6981,3;305;65,861320754717;199;64,1209547738693;-1,62;-7,19000000000062;363,44;356,25;363,44;5,21;
IE00BMWXKN31;HSBC Hang Seng TECH (Acc);307;5,954;1804,92;7592;5,87922475570033;7285;6,58900027453474;-64,57;-909,644000014399;22,65;-886,99;22,65;1,25;
IE00BTJRMP35;Xtrackers MSCI Emerging Markets (Acc);34;70,41;2267,3;100;66,6853529411765;66;54,9194545454546;0,4;-23,9799999999997;42,52;18,54;42,52;1,88;
LU0075056555;BGF World Mining Fund Class A2 USD;28;99;2569,31;28;91,7610357142857;0;;0;0;-198,74;-198,74;-198,75;-7,74;
LU0604766674;Allianz Global Metals and Mining AT (EUR);50;125,85;5355,83;50;107,11664;0;;0;0;94,17;94,17;94,17;1,76;
LU0908500753;Amundi Stoxx Europe 600 (Acc);16;284,6;4463,15;175;278,946875;159;258,475157232704;51,9;-0,339999999998025;44,0500000000002;43,71;44,05;0,99;
